"","Probe_ID","Gene_Symbol","Ensembl_Gene_ID","GSM60914","GSM60936","GSM60937","GSM60938","GSM60939","GSM60940","GSM60941","GSM60942","GSM60943","GSM60944","GSM60945","GSM60946","GSM60947","GSM60948","GSM60949","GSM60950","GSM60951","GSM60952","GSM60953","GSM60954","GSM60955","GSM60956","GSM60957","GSM61474"
"1312",1298,"SUGT1","ENSG00000165416","-0.042300613","-0.012096602","0.239748101","0.252920328","-0.122898398","-0.173417366","0.147576553","-0.13183876","0.101143416","0.340196725","0.011265072","-0.107644761","0.001889536","0.20864549","-0.236471319","0.038306187","-0.372755976","-0.069924356","0.035637379","-0.17466956","-0.176712743","-0.192123895","-0.208466224",1.104933064
"1313",1299,"HMGN4","ENSG00000182952","0.002894799","-0.030778913","-0.303883667","0.030748875","-0.060081094","-0.480066048","0.222060634","-0.384105289","0.385477335","0.166280658","0.203092961","-0.300672003","-0.319906626","0.297859285","0.077187625","-0.214625705","-0.212103234","0.225601487","-0.273403352","0.159863672","0.137803545","-0.047643367","-0.253964993",1.168764492
"1314",1300,"HMGN4","ENSG00000182952","0.02636028","-0.29782686","-0.18639135","0.030748875","-0.259700682","-0.400362193","0.36860264","-0.255419107","0.318262625","-0.001987889","0.436309042","-0.381670141","-0.419147253","0.233329359","0.032296577","-0.182463245","0.591548725","0.315272605","-0.196106035","-0.00561482","0.10391701","-0.0967527","-0.053271205",1.151495449
"1315",1301,"ARH2","1301","0.081683798","0.492071174",NA,NA,NA,NA,NA,NA,"-0.038935663","0.376375879","0.34505797",NA,NA,NA,NA,"-0.198591075","0.095347877","-0.265149795","-0.051074185","0.366013267","0.438250034","0.038557525","0.331306427",1.270127916
"1316",1302,"ARH2","1302","0.00620515","0.587946359",NA,NA,NA,NA,NA,"-0.282489784","0.685405587","0.22336426","0.435877843",NA,NA,NA,NA,"0.321599051","0.497499659","-0.047332946","0.06617341","0.136758138","0.22897257","0.175048993","0.667614633",1.065796629
"1317",1303,"GALT","ENSG00000213930","0.158419656","0.032926838","0.308047106","0.311372913","-0.200581587",NA,NA,"-0.155005582",NA,"0.345346371","0.369194865","0.236760712","-0.164744762","0.28920015","-0.201429528","-0.247982495",NA,"0.227975115","-0.009715155","0.213690086","-0.026647742","0.043431788","-0.175040736",0.931954023
"1318",1304,"GALT","ENSG00000213930","-0.049280903","0.155928998","0.356003409","0.448731115","-0.271555574",NA,NA,"-0.015213094","0.381148518","0.151188439","0.316507819","-0.226214132","-0.421710714","-0.253897611","-0.31871579","0.211422607","-0.515785012","0.370407701","0.16175107","-0.142359573","0.237067641","-0.453540013","0.184585308",0.890964544
"1319",1305,"PDE4DIP","ENSG00000178104","0.149584316","-0.189563492","0.482516994","0.250744454","-0.166788999","-0.2302614","-0.483093942",NA,NA,"-0.032945665","-0.161726836","0.359081093","-0.533157113","-0.008820479","-0.166319884","-0.217334362","0.17454515","-0.049690335","-0.20804949","0.172166133","-0.057899227","-0.554897983","-0.377499561",0.758820432
"1320",1306,"PDE4DIP","ENSG00000178104","-0.227761384","-0.090510808","0.382734443","0.250966651","0.090638197","0.193971559","-0.066031564",NA,NA,"-0.160401041","-0.187947272","0.084442864","-0.571013969","-0.124342664","-0.226383282","-0.11659673","-0.158039295","0.125727528","-0.102346892","-0.145144654","-0.03285297","-0.349114902","-0.493288945",0.987617421
"1321",1307,"TRIM63","ENSG00000158022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-0.285783531",NA,"-0.076006027","0.05641588","0.729660794","0.368979478","0.363109707","0.309997885",1.133611691
